track_id,weight
141833,1
75523,0.8036
73863,0.745
168144,0.7214
73463,0.6937
47223,0.6907
75503,0.6543
76263,0.6355
47283,0.5791
76213,0.4919
45063,0.4648
42343,0.4604
74923,0.4552
47013,0.4264
46753,0.3776
142793,0.3714
44463,0.3416
46563,0.3387
72923,0.3285
77153,0.3235
74133,0.319
73913,0.3111
46993,0.3089
44043,0.2924
73683,0.2833
73983,0.2684
46843,0.2637
42283,0.2556
76183,0.2434
48163,0.2383
47073,0.2292
142873,0.2269
74253,0.2261
73943,0.2237
44073,0.2159
74333,0.2128
43133,0.2114
74443,0.2043
75533,0.2022
44893,0.1919
74883,0.1785
47733,0.1782
73313,0.1765
43963,0.1758
77493,0.1681
144953,0.1663
47313,0.1662
76053,0.1655
44863,0.1654
74123,0.165
46613,0.1649
42203,0.1568
48183,0.1562
75543,0.1513
48363,0.1494
142893,0.1484
73663,0.1422
75413,0.1416
77783,0.1406
74053,0.14
72813,0.1389
75063,0.138
76173,0.1354
75803,0.1342
74603,0.1333
74733,0.1332
48303,0.1321
74083,0.132
45103,0.1319
44843,0.1311
74013,0.1305
43983,0.1237
44053,0.1214
46703,0.1188
77503,0.1181
73523,0.1158
168194,0.1131
47213,0.1117
45023,0.1115
73643,0.1101
73883,0.1099
44943,0.1091
141213,0.1087
43673,0.1081
75033,0.1074
47783,0.1056
73973,0.1051
142783,0.1048
77923,0.1042
74453,0.1034
75223,0.1023
42463,0.1018
44953,0.0992
45633,0.0989
48563,0.0988
42643,0.0982
43393,0.0963
75893,0.0953
48533,0.0952
77023,0.0951
45033,0.095
44223,0.0931
48543,0.093
76013,0.0925
76243,0.092
74553,0.0904
76223,0.0904
43853,0.0894
75863,0.0891
47853,0.0885
75833,0.0881
43783,0.0868
76253,0.0864
74873,0.0858
141743,0.0855
76203,0.0845
45003,0.0843
73923,0.0836
74383,0.0835
43943,0.0833
142133,0.083
141963,0.081
72863,0.081
42093,0.0807
48063,0.0807
141293,0.0802
42323,0.08
43763,0.0792
46263,0.0792
47383,0.0783
72823,0.0774
44453,0.0757
42303,0.0756
44993,0.0753
73513,0.075
75133,0.0748
77723,0.0744
142503,0.0738
74993,0.0736
73743,0.0708
48093,0.0706
76463,0.0699
74343,0.0697
75623,0.0697
46913,0.0695
142713,0.0694
75873,0.0694
43933,0.0693
47873,0.0693
77393,0.0691
77853,0.0691
72853,0.0685
46773,0.0683
72843,0.0683
72793,0.0681
74143,0.0681
77583,0.0678
76193,0.0668
75043,0.0661
48103,0.0653
74843,0.0653
75553,0.065
75613,0.0645
44153,0.0643
142883,0.0641
48493,0.064
74183,0.064
72913,0.0634
47603,0.0632
42073,0.0631
48193,0.0631
77683,0.063
46823,0.0628
141133,0.0626
44923,0.0625
141853,0.0623
77793,0.0619
141933,0.0618
74853,0.0614
44083,0.0608
74023,0.0608
142913,0.0604
46953,0.0604
44243,0.0602
47153,0.0601
141663,0.0594
45253,0.0594
72773,0.0588
45563,0.0587
74893,0.0587
43773,0.0586
141103,0.0581
47553,0.0576
43443,0.0575
73563,0.0575
72783,0.0573
47053,0.0572
75913,0.0567
76983,0.0567
47803,0.0566
75603,0.0564
72803,0.0563
43043,0.0561
75903,0.0555
76233,0.0555
48853,0.055
48433,0.0548
45343,0.0539
73873,0.0538
75493,0.0538
44883,0.0537
73893,0.0536
75023,0.053
45433,0.0523
45603,0.0521
45843,0.0521
43063,0.0519
