track_id,weight
88543,1
89713,0.8927
89293,0.8754
86593,0.8601
90113,0.7808
142573,0.7688
87573,0.7153
88463,0.6223
90943,0.5214
91953,0.5008
87453,0.4757
88523,0.442
84983,0.4334
84903,0.4219
86863,0.4081
88603,0.4007
90243,0.3882
144763,0.367
88563,0.3548
87513,0.3117
84993,0.3012
86913,0.3005
88493,0.2986
90093,0.2814
144043,0.2787
88693,0.2764
90273,0.2711
90753,0.2532
88793,0.2489
87083,0.241
88653,0.2391
90143,0.2383
90703,0.2357
90303,0.2331
92313,0.2266
141573,0.214
89343,0.2034
93063,0.2032
90773,0.2025
90673,0.1898
92243,0.1865
88443,0.1862
90953,0.1817
90033,0.1812
93613,0.1788
91873,0.1776
90683,0.17
89643,0.1695
89353,0.1595
90183,0.1592
87703,0.1566
90283,0.1561
90013,0.1552
90733,0.1544
89963,0.153
84743,0.1511
86753,0.1501
92063,0.1475
90263,0.1461
86763,0.1437
91913,0.1415
89743,0.1401
90783,0.1396
172594,0.1363
84973,0.1363
89283,0.1334
90793,0.1322
90073,0.1312
92723,0.1305
93383,0.1265
144033,0.1262
89323,0.1257
86503,0.1253
90663,0.1219
86893,0.1207
88753,0.1186
90203,0.1159
87073,0.114
88983,0.1136
89843,0.1121
89583,0.1119
88553,0.1114
172544,0.1112
141613,0.1097
84683,0.1054
90023,0.104
142393,0.1018
144143,0.1018
86663,0.1018
88723,0.1018
144123,0.1014
171424,0.1006
92103,0.0995
86453,0.0978
172534,0.0975
88353,0.0966
94173,0.0966
93073,0.0947
89423,0.0942
88613,0.094
86783,0.0925
86933,0.0925
86973,0.0923
86543,0.0913
88783,0.0901
171494,0.0899
86983,0.088
144183,0.0875
89763,0.0875
91003,0.0865
90853,0.0858
88973,0.0853
87373,0.0851
172574,0.0849
91333,0.0849
87033,0.0844
92953,0.0844
87333,0.0822
144083,0.082
171444,0.082
88453,0.0815
90693,0.081
92923,0.081
92263,0.0801
87113,0.0796
86673,0.0791
84853,0.0787
91513,0.0779
84403,0.077
89503,0.0765
89553,0.0765
84223,0.0751
87603,0.0751
88673,0.0746
172604,0.0741
92183,0.0739
171454,0.0734
144563,0.0729
87563,0.072
92083,0.0708
91613,0.0705
171464,0.0703
172554,0.07
171504,0.0693
88303,0.0691
90623,0.0689
86723,0.0686
91673,0.0686
86603,0.0684
88853,0.0679
84593,0.0674
86853,0.0674
89633,0.0667
90293,0.0665
87583,0.0662
171434,0.066
88823,0.066
88843,0.066
84693,0.0657
87013,0.0653
89573,0.0653
87193,0.065
92073,0.065
88363,0.0648
144493,0.0643
93813,0.0643
93453,0.0641
93143,0.0638
171474,0.0634
144313,0.0631
89443,0.0631
93043,0.0631
172524,0.0626
86903,0.0626
89373,0.0626
87103,0.0624
88023,0.0617
85153,0.0612
88473,0.0612
172564,0.0607
94263,0.0607
91823,0.0602
91043,0.0598
86713,0.0595
144463,0.0593
86803,0.059
92143,0.059
142563,0.0583
172584,0.0583
171484,0.0571
142353,0.0564
92303,0.0562
144793,0.0559
87353,0.0559
88933,0.0557
86733,0.0555
89513,0.0552
91113,0.0545
93103,0.054
94313,0.054
92223,0.0536
87803,0.0533
91273,0.0533
90043,0.0531
88813,0.0526
87133,0.0521
90083,0.0514
92693,0.0514
144533,0.0509
144603,0.0509
91803,0.0509
93363,0.0509
88663,0.0507
90213,0.0504
90173,0.0502
93703,0.05
144263,0.0495
144053,0.049
87523,0.0481
90363,0.0481
144373,0.0473
88763,0.0471
93053,0.0471
89673,0.0469
88593,0.0466
93463,0.0464
89593,0.0459
90233,0.0457
89473,0.0454
93803,0.0452
88573,0.0449
92133,0.0449
94293,0.0447
88963,0.0445
93083,0.0445
88733,0.044
88343,0.0437
88313,0.0433
86963,0.043
144333,0.0426
172774,0.0421
84963,0.0421
92743,0.0418
89863,0.0414
89903,0.0414
93653,0.0414
89523,0.0411
