track_id,weight
145674,0.0028
145694,0.4466
145714,0.4199
145724,0.4273
145744,0.0028
145754,0.4346
145774,0.4429
145784,0.0037
145804,0.0028
145814,0.0018
145834,0.5028
145844,0.3858
145854,0.0018
145864,0.3996
145874,0.0018
145894,0.4006
145924,0.0018
145934,0.0018
145944,1
145964,0.0018
146014,0.4245
146024,0.0018
146034,0.4217
146054,0.4107
146064,0.0018
146074,0.0018
146084,0.4079
146094,0.4816
146114,0.4724
146124,0.4936
146144,0.0028
146154,0.0028
146164,0.0028
146184,0.0018
146194,0.0028
146204,0.0018
146214,0.0028
146224,0.4006
146234,0.4641
146254,0.4595
146274,0.5866
146284,0.0037
146294,0.0046
146314,0.5534
146324,0.0009
146334,0.5009
146344,0.5368
146354,0.0037
146364,0.0018
146374,0.0009
146394,0.5184
146414,0.0037
146424,0.0009
146444,0.0028
146454,0.0028
146464,0.6685
146474,0.0037
146484,0.0028
146504,0.6501
146524,0.6805
146544,0.6252
146564,0.605
146574,0.0028
146584,0.6271
146594,0.6344
146624,0.7265
146634,0.0009
146644,0.0028
146654,0.7514
146664,0.0009
146674,0.7072
146684,0.0046
146694,0.0055
146704,0.0009
146714,0.0037
146724,0.0046
146734,0.6547
146744,0.5967
146754,0.0055
146764,0.0028
146774,0.0055
146784,0.6814
146794,0.0028
146814,0.0064
146824,0.0018
146834,0.6409
146844,0.0037
146854,0.0064
146864,0.6731
147354,0.0009
147514,0.0009
147894,0.0009
156144,0.0009
156514,0.0009
156844,0.0018
156944,0.0009
157114,0.0009
16661,0.0009
