track_id,weight
36963,1
36993,0.9852
37003,0.8023
36973,0.7174
57243,0.4758
37103,0.4613
57323,0.4386
56813,0.4093
36953,0.3756
56913,0.3181
56923,0.2957
37083,0.2522
56793,0.243
57353,0.2422
56843,0.2401
36943,0.2275
56973,0.2138
56833,0.195
56873,0.1816
37023,0.1632
57013,0.1497
56893,0.1357
37013,0.1281
57143,0.1255
56963,0.1202
57073,0.1149
57033,0.1131
57183,0.1054
56853,0.1044
37043,0.0973
57253,0.092
56783,0.0886
57223,0.0857
36983,0.0822
56953,0.0762
56943,0.0749
56803,0.0725
57293,0.0704
57203,0.0675
57043,0.0672
57023,0.0669
57153,0.0669
56933,0.0614
56903,0.0604
57343,0.0588
57083,0.058
56993,0.0575
57233,0.0561
56823,0.0493
57283,0.0485
57333,0.0472
57273,0.0467
56983,0.0438
57103,0.0438
57053,0.043
57113,0.0422
57123,0.0419
57213,0.0419
37133,0.0406
37053,0.0395
57193,0.0387
37073,0.0385
57063,0.0377
37123,0.0374
37033,0.0366
57133,0.0332
37063,0.0295
57163,0.0293
57003,0.029
56883,0.0271
57173,0.0256
37093,0.0242
56863,0.0232
57363,0.0232
57373,0.0224
57093,0.0211
57313,0.0206
37113,0.0192
57303,0.0187
57263,0.0182
145944,0.014
176074,0.0024
146334,0.0021
146654,0.0021
146624,0.0018
146674,0.0018
146464,0.0016
146524,0.0016
146124,0.0013
146274,0.0013
146314,0.0013
146344,0.0013
146504,0.0013
146544,0.0013
146564,0.0013
159854,0.0013
146394,0.0011
146094,0.0008
101213,0.0005
141833,0.0005
159824,0.0005
104683,0.0003
128823,0.0003
129173,0.0003
130363,0.0003
134863,0.0003
140583,0.0003
146114,0.0003
146234,0.0003
146254,0.0003
147384,0.0003
147414,0.0003
156144,0.0003
157354,0.0003
160264,0.0003
168094,0.0003
168284,0.0003
178794,0.0003
178834,0.0003
37253,0.0003
48543,0.0003
69683,0.0003
72233,0.0003
75503,0.0003
82243,0.0003
82883,0.0003
83193,0.0003
86973,0.0003
97363,0.0003
