track_id,weight
89993,0.0005
89713,0.0005
89513,0.0005
87563,0.0005
87083,0.0005
85133,0.0005
84513,0.0005
84493,0.0005
84383,0.0005
82243,0.0005
80093,0.0005
76213,0.0005
72243,0.0025
56923,0.0005
47223,0.001
44893,0.0005
40033,0.0005
37443,0.0005
37433,0.0005
37423,0.0005
37363,0.0005
37323,0.001
37153,0.0005
168554,0.0005
165444,0.0005
165374,0.0005
165214,0.0065
165184,0.0005
165174,0.001
165144,0.0085
165124,0.0025
165054,0.0045
165004,0.0005
164894,0.0005
164704,0.0005
164624,0.0015
164554,0.001
164514,0.005
164494,0.0005
164484,0.0055
164444,0.0015
164334,0.0085
164264,0.0005
163664,0.002
163494,0.0005
163444,0.0005
163404,0.002
163184,0.001
163134,0.002
161194,0.0005
144903,0.0005
144273,0.0005
142133,0.0005
141833,0.0015
140623,0.0005
137533,0.0741
137523,0.0696
137513,0.0706
137503,0.0431
137493,0.025
137483,0.0295
137473,0.0356
137463,0.0516
137453,0.0446
137443,0.0245
137433,0.0295
137423,0.0521
137413,0.0215
137403,0.0531
137393,0.0501
137383,0.019
137373,0.0215
137363,0.016
137353,0.0225
137343,0.012
137333,0.021
137323,0.0245
137313,0.0661
137303,0.0416
137293,0.0386
137283,0.0366
137273,0.0656
137263,0.0406
137253,0.016
137243,0.0381
137233,0.0546
137223,0.0401
137213,0.0781
137203,0.0666
137193,0.0566
137183,0.0371
137173,0.0436
137163,0.0516
137153,0.0546
137143,0.0601
137133,0.026
137123,0.0501
137113,0.0656
137103,0.0346
137093,0.0401
137083,0.0441
137073,0.0571
137063,0.0501
137053,0.0546
137043,0.023
137033,0.0295
137013,0.0195
137003,0.0706
136993,0.0426
136983,0.0446
136973,0.0416
136963,0.016
136953,0.0411
136943,0.0411
136923,0.1017
136903,0.0055
136893,0.0626
136883,0.0185
136873,0.1012
136863,0.0756
136853,0.006
136833,0.0911
136823,0.0931
136813,0.1152
136803,0.0831
136793,0.004
136783,0.0356
136773,0.0746
136763,0.0416
136753,0.0165
136743,0.0466
136733,0.0581
136723,0.1662
136713,0.1047
136703,0.0551
136693,0.0351
136683,0.0471
136673,0.0556
136663,0.0781
136653,0.1162
136643,0.2303
136623,0.0491
136613,0.0761
136603,0.0526
136593,0.0486
136583,0.0896
136563,0.0426
136553,0.0551
136543,0.1728
136533,0.1342
136523,0.0411
136513,0.0701
136503,0.0726
136493,0.1272
136483,0.0491
136473,0.0285
136463,0.1107
136453,0.1047
136443,0.0441
136433,0.0456
136423,0.0381
136413,0.0816
136403,0.0351
136393,0.0466
136383,0.0546
136373,0.0195
136363,0.0931
136353,0.0486
136343,0.0491
136333,0.0906
136323,0.0911
136313,0.0881
136303,0.0636
136293,0.2469
136283,0.0701
136273,0.0721
136263,0.0676
136253,0.1122
136243,0.1232
136233,0.0736
136223,0.0481
136213,0.1512
136203,0.0751
136193,0.0831
136183,0.1517
136173,0.1447
136163,0.0671
136153,0.0305
136143,0.1342
136133,0.026
136123,0.1007
136113,0.0235
136103,0.0396
136093,0.033
136083,0.0225
136073,0.1437
136063,0.0646
136053,0.0621
136043,0.0576
136023,0.0356
136013,0.0806
136003,0.022
135993,0.0751
135973,0.0336
135963,0.0456
135953,0.0476
135943,0.0541
135933,0.0401
135923,0.03
135913,0.0696
135903,0.0235
135893,0.031
135883,0.0536
135873,0.0325
135863,0.0351
135853,0.0315
135843,0.0541
135833,0.0401
135823,0.0145
135813,0.0235
135803,0.0421
135793,0.02
135783,0.0275
135773,0.0165
135763,0.025
135753,0.022
135743,0.0336
135733,0.0806
135723,0.0245
135713,0.0526
135703,0.0716
135683,0.0346
135673,0.0866
135663,0.027
135653,0.0471
135643,0.0491
135633,0.0846
135623,0.0711
135613,0.032
135603,0.0536
135593,0.0351
135583,0.0431
135573,0.0696
135563,0.0976
135553,0.0481
135543,0.0616
135533,0.029
135523,0.0446
135513,0.021
